	Row	Col	Herbivore	Carnivore
0	0	0	0	0
1	0	1	0	0
2	0	2	0	0
3	0	3	0	0
4	0	4	0	0
5	0	5	0	0
6	0	6	0	0
7	0	7	0	0
8	0	8	0	0
9	0	9	0	0
10	0	10	0	0
11	0	11	0	0
12	0	12	0	0
13	0	13	0	0
14	0	14	0	0
15	0	15	0	0
16	0	16	0	0
17	0	17	0	0
18	0	18	0	0
19	0	19	0	0
20	0	20	0	0
21	1	0	0	0
22	1	1	0	0
23	1	2	0	0
24	1	3	0	0
25	1	4	0	0
26	1	5	0	0
27	1	6	0	0
28	1	7	0	0
29	1	8	33	62
30	1	9	0	0
31	1	10	0	0
32	1	11	0	0
33	1	12	0	0
34	1	13	27	83
35	1	14	12	91
36	1	15	23	83
37	1	16	28	103
38	1	17	49	119
39	1	18	43	87
40	1	19	22	41
41	1	20	0	0
42	2	0	0	0
43	2	1	39	93
44	2	2	13	84
45	2	3	12	83
46	2	4	24	73
47	2	5	18	77
48	2	6	29	83
49	2	7	19	78
50	2	8	21	58
51	2	9	38	69
52	2	10	0	0
53	2	11	0	0
54	2	12	37	82
55	2	13	39	73
56	2	14	41	67
57	2	15	39	58
58	2	16	53	50
59	2	17	75	53
60	2	18	70	19
61	2	19	0	0
62	2	20	0	0
63	3	0	0	0
64	3	1	49	32
65	3	2	23	39
66	3	3	36	50
67	3	4	31	42
68	3	5	28	51
69	3	6	31	64
70	3	7	35	55
71	3	8	35	54
72	3	9	34	40
73	3	10	0	0
74	3	11	0	0
75	3	12	90	43
76	3	13	58	82
77	3	14	66	66
78	3	15	41	77
79	3	16	71	64
80	3	17	75	50
81	3	18	0	0
82	3	19	0	0
83	3	20	0	0
84	4	0	0	0
85	4	1	40	42
86	4	2	33	55
87	4	3	38	56
88	4	4	30	52
89	4	5	35	69
90	4	6	74	64
91	4	7	79	45
92	4	8	66	49
93	4	9	42	38
94	4	10	40	83
95	4	11	41	88
96	4	12	51	84
97	4	13	25	77
98	4	14	43	69
99	4	15	49	61
100	4	16	60	73
101	4	17	70	68
102	4	18	0	0
103	4	19	0	0
104	4	20	0	0
105	5	0	0	0
106	5	1	45	33
107	5	2	33	47
108	5	3	31	75
109	5	4	32	65
110	5	5	40	64
111	5	6	42	67
112	5	7	54	58
113	5	8	26	34
114	5	9	6	26
115	5	10	15	22
116	5	11	58	45
117	5	12	53	67
118	5	13	65	64
119	5	14	39	48
120	5	15	70	39
121	5	16	76	40
122	5	17	79	31
123	5	18	0	0
124	5	19	0	0
125	5	20	0	0
126	6	0	0	0
127	6	1	33	26
128	6	2	31	46
129	6	3	57	58
130	6	4	48	44
131	6	5	80	47
132	6	6	65	68
133	6	7	45	67
134	6	8	8	36
135	6	9	4	18
136	6	10	7	27
137	6	11	56	48
138	6	12	52	64
139	6	13	23	66
140	6	14	29	58
141	6	15	35	18
142	6	16	38	11
143	6	17	45	9
144	6	18	0	0
145	6	19	0	0
146	6	20	0	0
147	7	0	0	0
148	7	1	0	0
149	7	2	37	41
150	7	3	32	51
151	7	4	35	47
152	7	5	41	54
153	7	6	49	73
154	7	7	37	70
155	7	8	45	52
156	7	9	4	31
157	7	10	4	39
158	7	11	30	59
159	7	12	56	66
160	7	13	37	75
161	7	14	28	58
162	7	15	0	0
163	7	16	0	0
164	7	17	0	0
165	7	18	0	0
166	7	19	0	0
167	7	20	0	0
168	8	0	0	0
169	8	1	39	39
170	8	2	31	56
171	8	3	43	42
172	8	4	56	49
173	8	5	54	60
174	8	6	74	73
175	8	7	56	63
176	8	8	69	46
177	8	9	3	39
178	8	10	15	37
179	8	11	52	55
180	8	12	65	80
181	8	13	55	73
182	8	14	75	57
183	8	15	67	57
184	8	16	51	72
185	8	17	58	46
186	8	18	0	0
187	8	19	0	0
188	8	20	0	0
189	9	0	0	0
190	9	1	42	11
191	9	2	59	14
192	9	3	46	36
193	9	4	41	29
194	9	5	80	41
195	9	6	63	37
196	9	7	77	48
197	9	8	67	40
198	9	9	27	27
199	9	10	24	43
200	9	11	80	42
201	9	12	62	54
202	9	13	84	46
203	9	14	88	26
204	9	15	0	0
205	9	16	0	0
206	9	17	0	0
207	9	18	0	0
208	9	19	0	0
209	9	20	0	0
210	10	0	0	0
211	10	1	0	0
212	10	2	45	6
213	10	3	40	14
214	10	4	52	6
215	10	5	61	4
216	10	6	98	19
217	10	7	75	25
218	10	8	89	12
219	10	9	92	21
220	10	10	85	22
221	10	11	81	30
222	10	12	77	31
223	10	13	90	8
224	10	14	0	0
225	10	15	0	0
226	10	16	0	0
227	10	17	0	0
228	10	18	0	0
229	10	19	0	0
230	10	20	0	0
231	11	0	0	0
232	11	1	0	0
233	11	2	0	0
234	11	3	0	0
235	11	4	0	0
236	11	5	0	0
237	11	6	0	0
238	11	7	0	0
239	11	8	0	0
240	11	9	0	0
241	11	10	0	0
242	11	11	0	0
243	11	12	0	0
244	11	13	0	0
245	11	14	0	0
246	11	15	0	0
247	11	16	0	0
248	11	17	0	0
249	11	18	0	0
250	11	19	0	0
251	11	20	0	0
252	12	0	0	0
253	12	1	0	0
254	12	2	0	0
255	12	3	0	0
256	12	4	0	0
257	12	5	0	0
258	12	6	0	0
259	12	7	0	0
260	12	8	0	0
261	12	9	0	0
262	12	10	0	0
263	12	11	0	0
264	12	12	0	0
265	12	13	0	0
266	12	14	0	0
267	12	15	0	0
268	12	16	0	0
269	12	17	0	0
270	12	18	0	0
271	12	19	0	0
272	12	20	0	0
