	Row	Col	Herbivore	Carnivore
0	0	0	0	0
1	0	1	0	0
2	0	2	0	0
3	0	3	0	0
4	0	4	0	0
5	0	5	0	0
6	0	6	0	0
7	0	7	0	0
8	0	8	0	0
9	0	9	0	0
10	0	10	0	0
11	0	11	0	0
12	0	12	0	0
13	0	13	0	0
14	0	14	0	0
15	0	15	0	0
16	0	16	0	0
17	0	17	0	0
18	0	18	0	0
19	0	19	0	0
20	0	20	0	0
21	1	0	0	0
22	1	1	0	0
23	1	2	0	0
24	1	3	0	0
25	1	4	0	0
26	1	5	0	0
27	1	6	0	0
28	1	7	0	0
29	1	8	15	97
30	1	9	0	0
31	1	10	0	0
32	1	11	0	0
33	1	12	0	0
34	1	13	18	81
35	1	14	12	103
36	1	15	11	106
37	1	16	16	107
38	1	17	13	118
39	1	18	12	90
40	1	19	6	62
41	1	20	0	0
42	2	0	0	0
43	2	1	19	96
44	2	2	24	88
45	2	3	12	80
46	2	4	20	85
47	2	5	8	87
48	2	6	18	96
49	2	7	22	97
50	2	8	10	69
51	2	9	16	59
52	2	10	0	0
53	2	11	0	0
54	2	12	19	99
55	2	13	22	69
56	2	14	11	88
57	2	15	33	84
58	2	16	25	71
59	2	17	26	80
60	2	18	22	36
61	2	19	0	0
62	2	20	0	0
63	3	0	0	0
64	3	1	27	65
65	3	2	25	67
66	3	3	31	54
67	3	4	34	51
68	3	5	20	73
69	3	6	20	69
70	3	7	24	64
71	3	8	18	54
72	3	9	32	52
73	3	10	0	0
74	3	11	0	0
75	3	12	21	71
76	3	13	29	90
77	3	14	27	94
78	3	15	33	68
79	3	16	37	94
80	3	17	34	94
81	3	18	0	0
82	3	19	0	0
83	3	20	0	0
84	4	0	0	0
85	4	1	24	52
86	4	2	14	55
87	4	3	27	45
88	4	4	27	67
89	4	5	29	67
90	4	6	24	56
91	4	7	27	71
92	4	8	31	52
93	4	9	29	45
94	4	10	16	88
95	4	11	24	103
96	4	12	30	81
97	4	13	22	70
98	4	14	20	95
99	4	15	37	85
100	4	16	68	74
101	4	17	65	67
102	4	18	0	0
103	4	19	0	0
104	4	20	0	0
105	5	0	0	0
106	5	1	37	51
107	5	2	26	60
108	5	3	29	60
109	5	4	35	57
110	5	5	29	58
111	5	6	44	66
112	5	7	49	67
113	5	8	24	37
114	5	9	1	23
115	5	10	9	26
116	5	11	30	51
117	5	12	29	56
118	5	13	28	58
119	5	14	35	61
120	5	15	59	63
121	5	16	68	43
122	5	17	78	29
123	5	18	0	0
124	5	19	0	0
125	5	20	0	0
126	6	0	0	0
127	6	1	21	32
128	6	2	14	60
129	6	3	30	70
130	6	4	50	69
131	6	5	40	75
132	6	6	37	59
133	6	7	41	51
134	6	8	5	39
135	6	9	1	40
136	6	10	3	42
137	6	11	27	48
138	6	12	40	65
139	6	13	30	67
140	6	14	35	78
141	6	15	32	30
142	6	16	41	17
143	6	17	37	6
144	6	18	0	0
145	6	19	0	0
146	6	20	0	0
147	7	0	0	0
148	7	1	0	0
149	7	2	32	55
150	7	3	30	68
151	7	4	26	82
152	7	5	28	74
153	7	6	25	94
154	7	7	27	94
155	7	8	28	63
156	7	9	3	39
157	7	10	3	59
158	7	11	30	65
159	7	12	36	71
160	7	13	34	92
161	7	14	42	65
162	7	15	0	0
163	7	16	0	0
164	7	17	0	0
165	7	18	0	0
166	7	19	0	0
167	7	20	0	0
168	8	0	0	0
169	8	1	39	67
170	8	2	33	60
171	8	3	31	53
172	8	4	58	80
173	8	5	53	82
174	8	6	35	75
175	8	7	39	76
176	8	8	40	56
177	8	9	8	51
178	8	10	8	65
179	8	11	52	60
180	8	12	34	79
181	8	13	41	93
182	8	14	48	112
183	8	15	63	91
184	8	16	66	59
185	8	17	55	55
186	8	18	0	0
187	8	19	0	0
188	8	20	0	0
189	9	0	0	0
190	9	1	48	12
191	9	2	47	16
192	9	3	35	28
193	9	4	35	30
194	9	5	66	36
195	9	6	76	39
196	9	7	67	57
197	9	8	54	53
198	9	9	20	42
199	9	10	16	65
200	9	11	73	58
201	9	12	61	63
202	9	13	71	63
203	9	14	70	25
204	9	15	0	0
205	9	16	0	0
206	9	17	0	0
207	9	18	0	0
208	9	19	0	0
209	9	20	0	0
210	10	0	0	0
211	10	1	0	0
212	10	2	38	8
213	10	3	50	13
214	10	4	43	12
215	10	5	56	5
216	10	6	87	7
217	10	7	85	24
218	10	8	65	34
219	10	9	68	31
220	10	10	66	38
221	10	11	70	21
222	10	12	80	36
223	10	13	86	22
224	10	14	0	0
225	10	15	0	0
226	10	16	0	0
227	10	17	0	0
228	10	18	0	0
229	10	19	0	0
230	10	20	0	0
231	11	0	0	0
232	11	1	0	0
233	11	2	0	0
234	11	3	0	0
235	11	4	0	0
236	11	5	0	0
237	11	6	0	0
238	11	7	0	0
239	11	8	0	0
240	11	9	0	0
241	11	10	0	0
242	11	11	0	0
243	11	12	0	0
244	11	13	0	0
245	11	14	0	0
246	11	15	0	0
247	11	16	0	0
248	11	17	0	0
249	11	18	0	0
250	11	19	0	0
251	11	20	0	0
252	12	0	0	0
253	12	1	0	0
254	12	2	0	0
255	12	3	0	0
256	12	4	0	0
257	12	5	0	0
258	12	6	0	0
259	12	7	0	0
260	12	8	0	0
261	12	9	0	0
262	12	10	0	0
263	12	11	0	0
264	12	12	0	0
265	12	13	0	0
266	12	14	0	0
267	12	15	0	0
268	12	16	0	0
269	12	17	0	0
270	12	18	0	0
271	12	19	0	0
272	12	20	0	0
